name,url,price,Tốc độ CPU,CPU,Tốc độ BUS,Loại CPU,Tốc độ tối đa,Hãng CPU,Bộ nhớ đệm,Tên đầy đủ (CPU),Số luồng,Số lõi,RAM,Loại RAM,Số khe cắm rời,Tốc độ RAM,Dung lượng nâng cấp tối đa,Số RAM onboard,Tên đầy đủ (RAM),Số khe RAM còn lại,Màn hình cảm ứng,Công nghệ màn hình,Màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Tấm nền,Tên đầy đủ (Màn hình),Độ tương phản,Độ sáng,Tỷ lệ màn hình,Độ phủ màu,Kiểu màn hình,Card đồ họa,Card rời,Có Card rời,Có Card onbroad,Hãng (Card onbroad),Model (Card onbroad),Model (Card rời),Xung nhịp tối đa (Card onbroad),Xung nhịp (Card onbroad),Đồ họa,Xung nhịp (Card rời),Xung nhịp tối đa (Card rời),Card onbroad,Bộ nhớ đồ họa (Card rời),Kiểu bộ nhớ,Hãng (Card rời),Tên đầy đủ (Card rời),Tổng số khe cắm SSD/HDD,Tốc độ đọc/ghi,Tốc độ quay HDD,Có SSD,Số khe SSD/HDD còn lại,Dung Lượng HDD,Ổ cứng,Dung lượng SSD,Kiểu HDD,Chuẩn M2,Kiểu SSD,Có HDD,Hỗ trợ công nghệ Optane,Khe đọc thẻ nhớ,Bluetooth,Số cổng Gigabit Ethernet,Số cổng HDMI,Số cổng VGA,Wireless,Số cổng Type-C,Số cổng USB 2.0,Webcame,Số cổng 3.5 mm headphone/speaker jack,Số cổng DC-in jack,Số cổng USB 3.0,Số cổng Thunderbolt,Số cổng Card reader,Senser,Công nghệ âm thanh,Số Loa,Nhận diện khuôn mặt,Mở khóa vân tay (Finger Print),Mật khẩu,Ổ đĩa quang,Loại ổ đĩa quang,Bàn phím số,Công nghệ đèn bàn phím,Kiểu bàn phím,TouchPad,Loại đèn bàn phím,Màu đèn LED,PIN có thể tháo rời,Loại PIN,PIN (Cell),Power Supply,Type,Version,Hệ điều hành,Chất liệu mặt bên ngoài cùng,Chất liệu khung màn hình,Width (mm),Tản nhiệt,Height (mm),Bản lề (Hinge / Kickstand),Trọng lượng (kg),Chất liệu mặt lưng,Kích thước (mm),Chất liệu mặt bàn phím + kê tay,Model Series,PN,Thời gian bảo hành,Xuất xứ,Năm ra mắt,Phụ kiện kèm theo (bút / bàn phím/ cáp chuyển…)
Lenovo IdeaPad C340-15IIL/i5-1035G1,lenovo-ideapad-c340-15iil-i5-1035g1,15790000.0,1.00 GHz,Core i5,4 GT/s,1035G1,3.60 GHz,Intel,6 MB Smart Cache,Intel Core i5-1035G1,8,4,8 GB,DDR4,1,2666 MHz,12 GB,1,8 GB DDR4 2666 MHz,0,Có,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Đa điểm,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,16:09,Đang cập nhật,LED,Intel UHD Graphics,Không,Không,Có,Intel,UHD,Không,1050 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,Đang cập nhật,32 Gb/s,Không,Có,Đang cập nhật,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,SD card reader,v4.2,0,1,Đang cập nhật,802.11 ac,1,0,HD Web Camera,1,1,2,Đang cập nhật,1,Không,Dolby Audio,2,Không,Không,Có,Không,Không,Không,Đơn sắc,Multimedia Fn keys,Buttonless mylar surface multi-touch touchpad,LED,White,Không,Lithium-ion,3 Cell,65 W,64 bit,Home,Windows 10,ABS plastic,ABS plastic,364,Đang cập nhật,20.5,Đang cập nhật,2,ABS plastic,250,ABS plastic,Lenovo IdeaPad,81XJ0027VN,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
Dell Inspiron V5490 i3 10110U/V4I3101W,dell-vostro-v5490-i3-10110u,13690000.0,2.10 GHz,Core i3,4 GT/s,10110U,4.10 GHz,Intel,4 MB Smart Cache,Intel Core i3-10110U,4,2,4 GB,DDR4,1,2666 MHz,20 GB,1,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,TN,"14.0"" Anti-glare LED-backlit",Đang cập nhật,220 nits,16:09,45% NTSC,LED,Card Onboard,Không,Không,Có,Intel,620,Không,1100 MHz,300 MHz,Intel UHD Graphics 620,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 128 GB,128 GB,Không,2280,M2. PCIe,Không,Có,1 SD Media Card Reader,v5.0,1,1,0,802.11 ac,1,1,HD Web Camera,1,1,2,0,1,Không,Realtek High Definition Audio,2,Không,Có,Có,Không,Không,Không,Đơn sắc,English International Backlit Keyboard,TouchPad với nút bật / tắt và hỗ trợ cử chỉ đa cảm ứng,LED,White,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home Single Language,Windows 10,Kim loại,Nhựa,328,1 quạt,18.3,Đang cập nhật,1.49,Nhựa,227.7,Nhựa,Dell Vostro,V4I3101W,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, Sách HDSD"
HP ProBook 440 G7/i5-10210U,hp-probook-440-g7-i5-10210u,17590000.0,1.60 GHz,Core i5,4 GT/s,10210U,4.20 GHz,Intel,6 MB Smart Cache,Intel Core i5-10210U,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,IPS,"14.0"" Anti-glare LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,1100 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,SD,v5.0,1,1,0,802.11 ac,1,1,HD Web Camera,1,1,2,0,1,Không,HP audio boost,2,Không,Có,Có,Không,Không,Không,Đang cập nhật,Full-size,Đang cập nhật,Không,Đang cập nhật,Không,Lithium-ion,3 Cell,45 W,64 bit,Home Plus Single Language,Windows 10,Kim Loại,Nhựa,324.2,1 quạt,18,Bản lề đôi,1.6,Nhựa,237.7,Kim Loại,HP ProBook,9TN60PA,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
HP ProBook 440 G7/i3-10110U,hp-probook-440-g7-i3-10110u,13690000.0,2.10 GHz,Core i3,4 GT/s,10110U,4.10 GHz,Intel,4 MB Smart Cache,Intel Core i3-10110U,4,2,4 GB,DDR4,2,2666 MHz,32 GB,0,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"14.0""",1366 x 768 Pixel,60 Hz,Không,SVA,"14.0"" Anti-glare LED-backlit",Đang cập nhật,220 nits,16:09,45% NTSC,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,1000 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,SD,v5.0,1,1,0,802.11 ac,1,1,HD Web Camera,1,1,2,0,1,Không,HP audio boost,2,Không,Có,Có,Không,Không,Không,Đang cập nhật,Full-size,Đang cập nhật,Không,Đang cập nhật,Không,Lithium-ion,3 Cell,45 W,64 bit,Home Plus Single Language,Windows 10,Kim Loại,Nhựa,324.2,1 quạt,18,Bản lề đôi,1.6,Nhựa,237.7,Kim Loại,HP ProBook,9TN39PA,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
HP ProBook 450 G7/i7-10510U,hp-probook-450-g7-i7-10510u,23290000.0,1.80 GHz,Core i7,4 GT/s,10510U,4.90 GHz,Intel,8 MB Smart Cache,Intel Core i7-10510U,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,GeForce MX250 2GB,GeForce Series,Có,Có,Intel,UHD,MX250,1150 MHz,300 MHz,Intel UHD Graphics,Đang cập nhật,Đang cập nhật,UHD Graphics,2 GB,GDDR5,NVIDIA,NVIDIA GeForce MX250 2 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,SD,v5.0,1,1,0,802.11 ac,1,1,HD Web Camera,1,1,2,0,1,Không,HP audio boost,2,Không,Có,Có,Không,Không,Có,Đang cập nhật,Full-size,Đang cập nhật,Không,Đang cập nhật,Không,Lithium-ion,3 Cell,65 W,64 bit,Home Plus Single Language,Windows 10,Kim Loại,Nhựa,264.9,1 quạt,19,Bản lề đôi,2,Nhựa,256.9,Kim Loại,HP ProBook,9TN61PA,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
Asus Vivobook D409DA-EK109T/R5-3500U,asus-vivobook-d409da-ek109t-r5-3500u,12090000.0,2.10 GHz,Ryzen 5,Đang cập nhật,3500U,3.70 GHz,AMD,4 MB L3 Cache,AMD Ryzen 5-3500U,8,4,4 GB,DDR4,1,2400 MHz,12 GB,1,4 GB DDR4 2400 MHz,1,Không,LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,TN,"14.0"" LED-backlit",Đang cập nhật,200 nits,16:09,45% NTSC,LED,Radeon Vega 3 Graphics,Không,Không,Có,AMD,Vega 3,Không,1100 MHz,300 MHz,AMD Radeon Graphics Vega 3,Không,Không,Radeon Graphics,Không,Không,Không,Không,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Có,Có,v4.2,0,1,0,802.11 ac,1,2,HD Web Camera,1,1,1,0,1,Không,Đang cập nhật,Đang cập nhật,Không,Có,Không,Không,Không,Không,Không,Chiclet Keyboard,Đang cập nhật,Không,Không,Không,Lithium-Polymer,2 Cell,45 W,64 bit,Home Single Language,Windows 10,Nhựa,Nhựa,325,Đang cập nhật,23.1,Ergolift,1.9,Nhựa,216,Nhựa,Asus VivoBook,D409DA-EK109T,24 Tháng,Trung Quốc,2020,"Sạc, HDSD"
HP Pavilion 15-cs3060TX/i5-1035G1,hp-pavilion-15-cs3060tx-i5-1035g,18190000.0,1.00 GHz,Core i5,4 GT/s,1035G1,3.60 GHz,Intel,6 MB Smart Cache,Intel Core i5-1035G1,8,4,8 GB,DDR4,1,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,Đang cập nhật,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,GeForce MX250 2GB,GeForce Series,Có,Có,Intel,UHD,MX250,1050 MHz,300 MHz,Intel UHD Graphics,Đang cập nhật,Đang cập nhật,UHD Graphics,2 GB,DDR5,NVIDIA,NVIDIA GeForce MX250 2 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,SD-card reader,v5.0,1,1,Đang cập nhật,802.11 ac,1,Đang cập nhật,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đang cập nhật,Chiclet Keyboard,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,65 W,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,361.6,Đang cập nhật,17.9,Đang cập nhật,1.761,Đang cập nhật,245.6,Nhôm,HP Pavilion,8RJ61PA,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
HP Pavilion 15-cs3116TX/i5-1035G1,hp-pavilion-15-cs3116tx-i5-1035g,15990000.0,1.00 GHz,Core i5,4 GT/s,1035G1,3.60 GHz,Intel,6 MB Smart Cache,Intel Core i5-1035G1,8,4,4 GB,DDR4,2,2666 MHz,32 GB,0,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,Đang cập nhật,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,GeForce MX250 2GB,GeForce Series,Có,Có,Intel,UHD,MX250,1050 MHz,300 MHz,Intel UHD Graphics,Đang cập nhật,Đang cập nhật,UHD Graphics,2 GB,DDR5,NVIDIA,NVIDIA GeForce MX250 2 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 256 GB,256 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,SD-card reader,v5.0,1,1,Đang cập nhật,802.11 ac,1,Đang cập nhật,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đang cập nhật,Chiclet Keyboard,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,65 W,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,361.6,Đang cập nhật,17.9,Đang cập nhật,1.755,Đang cập nhật,245.6,Nhôm,HP Pavilion,9AV24PA,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
HP Pavilion 15-cs3011TU/i5-1035G1,hp-pavilion-15-cs3011tu-i5-1035g,17290000.0,1.00 GHz,Core i5,4 GT/s,1035G1,3.60 GHz,Intel,6 MB Smart Cache,Intel Core i5-1035G1,8,4,8 GB,DDR4,1,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,Đang cập nhật,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,1050 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,SD-card reader,v5.0,1,1,Đang cập nhật,802.11 ac,1,Đang cập nhật,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đang cập nhật,Chiclet Keyboard,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,45 W,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,361.6,Đang cập nhật,17.9,Đang cập nhật,1.706,Đang cập nhật,245.6,Nhôm,HP Pavilion,8QN96PA,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
HP Pavilion 15-cs3008TU/i3-1005G1,hp-pavilion-15-cs3008tu-i3-1005g,12590000.0,1.20 GHz,Core i3,4 GT/s,1005G1,3.40 GHz,Intel,4 MB Smart Cache,Intel Core i3-1005G1,4,2,4 GB,DDR4,1,2666 MHz,32 GB,0,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,Đang cập nhật,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,900 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 256 GB,256 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,SD-card reader,v5.0,1,1,Đang cập nhật,802.11 ac,1,Đang cập nhật,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đang cập nhật,Chiclet Keyboard,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,45 W,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,361.6,Đang cập nhật,17.9,Đang cập nhật,1.693,Đang cập nhật,245.6,Nhôm,HP Pavilion,8QP02PA,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
HP ENVY 13-aq1022TU/i5-10210U,hp-envy-13-aq1022tu-i5-10210u,21390000.0,1.60 GHz,Core i5,4 GT/s,10210U,4.20 GHz,Intel,6 MB Smart Cache,Intel Core i5-10210U,8,4,8 GB,DDR4,0,2400 MHz,8 GB,1,8 GB DDR4 2400 MHz,0,Không,BrightView Micro-edge WLED-backlit,"13.3""",1920 x 1080 Pixel,60 Hz,Không,IPS,"13.3"" BrightView Micro-edge WLED-backlit",Đang cập nhật,300 nits,16:09,72% NTSC,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,1100 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,Micro SD,v5.0,0,0,0,802.11 a/b/g/n/ac,1,0,HD Web Camera,1,1,2,0,1,Không,Audio by B&O,2,Không,Có,Có,Không,Không,Không,Đơn sắc,Full-size,Đang cập nhật,LED,White,Không,Lithium-ion,4 Cell,65 W,64 bit,Home Single Language,Windows 10,Kim Loại,Kính,307,1 quạt,14.7,Bản lề nâng,1.17,Nhựa,211.5,Kim loại,HP Envy,8QN69PA,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
HP Pavilion 14-ce3018TU/i5-1035G1,hp-pavilion-14-ce3018tu-i5-1035g,15290000.0,1.00 GHz,Core i5,4 GT/s,1035G1,3.60 GHz,Intel,6 MB Smart Cache,Intel Core i5-1035G1,8,4,4 GB,DDR4,1,2666 MHz,16 GB,0,4 GB DDR4 2666 MHz,0,Không,Anti-glare Micro-edge WLED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,IPS,"14.0"" Anti-glare Micro-edge WLED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,UHD,Không,1050 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 256 GB,256 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,SD,v5.0,1,1,0,802.11 a/b/g/n/ac,1,0,HD Web Camera,1,1,2,0,1,Không,HP audio boost,2,Không,Không,Có,Không,Không,Không,Đơn sắc,Full-size,Đang cập nhật,LED,White,Không,Lithium-ion,3 Cell,45 W,64 bit,Home Single Language,Windows 10,Kim Loại,Nhựa,326.8,1 quạt,17.9,Bản lề nâng,1.6,Nhựa,225.5,Kim loại,HP Pavilion,8QN89PA,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
"MacBook Pro 16"" 2019 Touch Bar 2.3GHz Core i9 1TB",macbook-pro-16-touch-bar-23ghz-core-i9,69990000.0,2.30 GHz,Core i9,8 GT/s,9th-gen,4.80 GHz,Intel,12 MB Smart Cache,Intel Core i9-9th-gen,16,8,16 GB,DDR4,0,2666 MHz,64 GB,2,16 GB DDR4,0,Không,"IPS LCD LED Backlit, True Tone","16.0""",3072 x 1920 Pixel,Đang cập nhật,Không,IPS,"16.0"" IPS LCD LED Backlit, True Tone",Đang cập nhật,Đang cập nhật,16:10,99% sRGB,LED,Radeon Pro 5500M 4GB	,Radeon Pro,Không,Không,Intel,630,5500M,1200 MHz,350 MHz,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,AMD,AMD Radeon Pro 5500M 4 GB,Đang cập nhật,Đang cập nhật,Không,Không,Đang cập nhật,Không,SSD 1 TB,1 TB,Không,Đang cập nhật,Có,Không,Không,Không,v5.0,0,0,0,802.11 ac,4,0,720p FaceTime HD camera,1,0,4,4,0,2,Stereo speakers with high dynamic range,6,Không,Có,Không,Không,Không,Không,Đơn sắc,,Hỗ trợ đa cử chỉ,LED,White,Không,Lithium-Polymer,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Mac OS,Nhôm,Nhựa,357.9,Đang cập nhật,16.2,Đang cập nhật,2.0,Nhôm,24.59,Nhôm,Macbook Pro,MVVK2SA/A,12 Tháng,Trung Quốc,2019,"Củ sạc USB-C 96W, dây sạc USB-C 2m, Sách HDSD"
"MacBook Pro 16"" 2019 Touch Bar 2.6GHz Core i7 512GB",macbook-pro-16-touch-bar-26ghz-core-i7,59990000.0,2.60 GHz,Core i7,8 GT/s,9th-gen,4.50 GHz,Intel,12 MB Smart Cache,Intel Core i7-9th-gen,12,6,16 GB,DDR4,0,2666 MHz,64 GB,2,16 GB DDR4,0,Không,"IPS LCD LED Backlit, True Tone","16.0""",3072 x 1920 Pixel,Đang cập nhật,Không,IPS,"16.0"" IPS LCD LED Backlit, True Tone",Đang cập nhật,Đang cập nhật,16:10,99% sRGB,LED,Radeon Pro 5300M 4GB,Radeon Pro,Không,Không,Intel,630,5300M,1200 MHz,350 MHz,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,AMD,AMD Radeon Pro 5300M 4 GB,Đang cập nhật,Đang cập nhật,Không,Không,Đang cập nhật,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,Có,Không,Không,Không,v5.0,0,0,0,802.11 ac,4,0,720p FaceTime HD camera,1,0,4,4,0,2,Stereo speakers with high dynamic range,6,Không,Có,Không,Không,Không,Không,Đơn sắc,,Hỗ trợ đa cử chỉ,LED,White,Không,Lithium-Polymer,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Mac OS,Nhôm,Nhựa,357.9,Đang cập nhật,16.2,Đang cập nhật,2.0,Nhôm,24.59,Nhôm,Macbook Pro,MVVJ2SA/A,12 Tháng,Trung Quốc,2019,"Củ sạc USB-C 96W, dây sạc USB-C 2m, Sách HDSD"
Dell Inspiron N5593 i3 1005G1/70196703,dell-inspiron-n5593-i3-1005g1,13290000.0,1.20 GHz,Core i3,4 GT/s,1005G1,3.40 GHz,Intel,4 MB Smart Cache,Intel Core i3-1005G1,4,2,4 GB,DDR4,2,2666 MHz,16 GB,0,4 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,Intel UHD Graphics,Không,Không,Có,Intel,UHD,Không,900 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 128 GB,128 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,1,v4.2,1,1,0,802.11 ac,1,1,HD Web Camera,1,1,2,0,1,Không,Realtek High Definition Audio,2,Không,Không,Không,Không,Không,Có,Đơn sắc,Đang cập nhật,Đang cập nhật,LED,White,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home Single Language,Windows 10,Vỏ nhựa,Nhựa,363.96,Đang cập nhật,19.9,Đang cập nhật,2.05,Nhựa,249,Nhựa,Dell Inspiron,70196703,12 Tháng,Trung Quốc,2019,Adapter
Lenovo Ideapad S340-14IIL/CORE I3 1005G1,lenovo-ideapad-s340-14iil-i3-1005g,11690000.0,1.20 GHz,Core i3,Đang cập nhật,1005G1,3.40 GHz,Intel,4 MB Cache,Intel Core i3-1005G1,4,2,4 GB,DDR4,1,2666 Mhz,8 GB,1,4 GB DDR4 2666 Mhz,0,Không,LED-backlit,"14.0""",1920 x 1080 Pixel,Đang cập nhật,Không,TN,"14.0"" LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Intel UHD Graphics,Không,Không,Có,Intel,UHD,Không,1050 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,2242,M2. PCIe,Không,Không,Micro SD,v4.2,0,1,0,802.11 ac,1,0,Full HD Web Camera,1,0,0,0,1,Không,Dolby Audio,2,Không,Không,Có,Không,Không,Không,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-Polymer,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,322.7,Đang cập nhật,17.9,Đang cập nhật,1.6,Nhựa,230.5,Nhựa,Lenovo phổ thông,81VV003TVN,12 tháng,Trung Quốc,2019,"Sạc, HDSD"
Asus Vivobook D409DA-EK110T/R3-3200U,asus-vivobook-d409da-ek110t-r3-3200u,9490000.0,2.60 GHz,Ryzen 3,Đang cập nhật,3200U,3.50 GHz,AMD,4 MB L3 Cache,AMD Ryzen 3-3200U,4,2,4 GB,DDR4,1,2400 MHz,12 GB,1,4 GB DDR4 2400 MHz,1,Không,LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,TN,"14.0"" LED-backlit",Đang cập nhật,200 nits,16:09,45% NTSC,LED,Radeon Vega 3 Graphics,Không,Không,Có,AMD,Vega 3,Không,1200 MHz,192 MHz,AMD Radeon Graphics Vega 3,Không,Không,Radeon Graphics,Không,Không,Không,Không,1,Đang cập nhật,Không,Có,0,Không,SSD 256 GB,256 GB,Không,2280,M2. PCIe,Không,Đang cập nhật,Micro SD,v4.2,0,1,0,802.11 ac,1,2,HD Web Camera,1,1,1,0,1,Không,Đang cập nhật,Đang cập nhật,Không,Có,Không,Không,Không,Không,Không,Chiclet Keyboard,Đang cập nhật,Không,Không,Không,Lithium-Polymer,2 Cell,45 W,64 bit,Home Single Language,Windows 10,Nhựa,Nhựa,325,Đang cập nhật,23.1,Ergolift,1.9,Nhựa,216,Nhựa,Asus VivoBook,D409DA-EK110T,24 Tháng,Trung Quốc,2020,"Sạc, HDSD"
Asus Vivobook A412DA-EK347T/R3-3200U,asus-vivobook-a412da-ek347t-r3-3200u,11190000.0,2.60 GHz,Ryzen 3,2400 MHz,3200U,3.50 GHz,AMD,4 MB L3 Cache,AMD Ryzen 3-3200U,4,2,4 GB,DDR4,1,2400 MHz,12 GB,1,4 GB DDR4 2400 MHz,0,Không,LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,Đang cập nhật,"14.0"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,Radeon Vega 3 Graphics,Không,Không,Có,AMD,Vega 3,Không,1200 MHz,192 MHz,AMD Radeon Graphics Vega 3,Không,Không,Radeon Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,Micro SD,v4.2,0,1,0,802.11 ac,1,1,VGA Web Camera,1,1,1,0,1,Không,ASUS SonicMaster stereo,1,Không,Có,Không,Không,Không,Không,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-Polymer,2 Cell,Đang cập nhật,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,1.5,Đang cập nhật,Đang cập nhật,Đang cập nhật,Asus VivoBook,A412DA-EK347T,24 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
